,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,laisser,let
10,10,mettre,to put
11,11,aucun,no
12,12,laisse,leash
13,13,ville,city
14,14,parlé,speak
15,15,devrait,should
16,16,bébé,baby
17,17,heures,hours
18,18,pendant,while
19,19,revoir,meet again
20,20,place,square
21,21,parle,speak
22,22,compris,understood
23,23,savais,knew
24,24,étaient,were
25,25,attention,Warning
26,26,voici,here is
27,27,pourrais,could
28,28,affaire,case
29,29,donner,give
30,30,leurs,their
31,31,donné,given
32,32,train,train
33,34,yeux,eyes
34,35,façon,way
35,36,écoute,listen
36,37,dont,whose
37,38,premier,first
38,40,première,first
39,41,côté,side
40,43,vieux,old
41,44,sois,be
42,45,tiens,here
43,46,matin,morning
44,47,tellement,so much
45,48,enfant,child
46,49,point,point
47,50,suite,after
48,51,pardon,sorry
49,52,venez,come
50,53,devant,in front of
51,54,vers,towards
52,55,minutes,minutes
53,56,demandé,request
54,57,chambre,bedroom
55,58,belle,beautiful
56,59,droit,law
57,60,aimerais,would like to
58,61,aujourd'hui,today
59,62,mari,husband
60,63,cause,cause
61,64,enfin,finally
62,65,espère,hope
63,66,eau,water
64,67,attendez,Wait
65,68,parti,left
66,69,nouvelle,new
67,70,boulot,job
68,71,arrêter,Stop
69,72,dirait,would say
70,73,terre,Earth
71,74,compte,account
72,75,donne,given
73,76,loin,far
74,77,fin,end
75,78,croire,believe
76,79,chérie,sweetheart
77,80,gros,large
78,81,plutôt,rather
79,82,filles,girls
80,83,jouer,to play
81,84,bureau,office
